
    Sonde serial number                          	M4643053
    Sonde type                                   	RS92-SGP
    Release point longitude                      	73.83�E
    Release point latitude                       	19.90�N
    Release point height from sea level          	1151 m
    Balloon release date and time                	2022-03-28T14:31:19

   n HeightMSL  Temp     P RH Dir Speed  MRI
             m    �C    mb  %   �   m/s     
 127      1688  30.5 892.2 15 326   7.3  429
 128      1691  30.5 891.9 15 326   7.3  429
 129      1694  30.4 891.6 15 325   7.3  430
 130      1697  30.4 891.3 15 325   7.3  430
 131      1701  30.4 890.9 15 325   7.3  430
 132      1704  30.4 890.6 15 325   7.3  431
 133      1708  30.3 890.2 15 325   7.3  432
 134      1712  30.3 889.8 15 325   7.2  432
 135      1716  30.3 889.4 15 325   7.2  433
 136      1719  30.2 889.1 15 325   7.2  433
 137      1722  30.2 888.7 15 325   7.2  434
 138      1726  30.2 888.4 15 325   7.2  434
 139      1729  30.1 888.1 15 324   7.2  434
 140      1733  30.1 887.7 15 324   7.1  435
 141      1736  30.1 887.4 15 324   7.1  435
 142      1740  30.0 887.0 15 324   7.1  436
 143      1743  30.0 886.7 15 325   7.1  437
 144      1747  30.0 886.3 15 325   7.1  437
 145      1750  29.9 886.0 15 325   7.1  437
 146      1753  29.9 885.7 15 325   7.0  438
 147      1757  29.8 885.3 15 325   7.0  438
 148      1761  29.8 884.9 15 325   7.0  439
 149      1764  29.8 884.6 15 325   7.0  439
 150      1768  29.7 884.2 15 325   7.0  440
 151      1772  29.7 883.8 15 326   7.0  440
 152      1776  29.7 883.4 15 326   6.9  441
 153      1780  29.7 883.0 15 326   6.9  441
 154      1784  29.6 882.6 15 326   6.9  441
 155      1788  29.6 882.2 15 326   6.9  442
 156      1792  29.5 881.9 15 327   6.9  443
 157      1795  29.5 881.5 15 327   6.9  443
 158      1799  29.5 881.1 16 327   6.9  444
 159      1803  29.4 880.7 16 328   6.9  445
 160      1806  29.4 880.4 16 328   6.9  445
 161      1810  29.4 880.1 16 328   6.9  446
 162      1814  29.3 879.7 16 328   6.9  446
 163      1818  29.3 879.3 16 329   7.0  447
 164      1822  29.2 878.9 16 329   7.0  447
 165      1826  29.2 878.5 16 329   7.0  448
 166      1829  29.2 878.1 16 329   7.0  448
 167      1833  29.2 877.8 16 330   7.0  449
 168      1836  29.1 877.5 16 330   7.0  449
 169      1839  29.1 877.1 15 330   7.0  449
 170      1843  29.1 876.8 15 330   7.0  449
 171      1846  29.0 876.4 16 330   7.0  450
 172      1850  29.0 876.1 16 330   7.0  450
 173      1853  29.0 875.8 15 331   7.1  451
 174      1857  28.9 875.4 15 331   7.1  451
 175      1861  28.9 875.0 15 331   7.1  451
 176      1864  28.9 874.7 15 331   7.1  452
 177      1868  28.8 874.3 15 331   7.1  452
 178      1871  28.8 874.0 16 331   7.1  453
 179      1874  28.8 873.7 16 331   7.1  454
 180      1878  28.7 873.4 16 331   7.1  454
 181      1881  28.7 873.0 16 331   7.1  455
 182      1884  28.7 872.7 16 331   7.1  455
 183      1887  28.7 872.4 16 331   7.1  456
 184      1890  28.6 872.1 16 331   7.1  456
 185      1894  28.6 871.8 16 331   7.1  457
 186      1897  28.6 871.5 16 331   7.1  457
 187      1899  28.5 871.2 16 331   7.1  458
 188      1902  28.5 871.0 16 331   7.1  458
 189      1905  28.5 870.7 16 330   7.1  459
 190      1908  28.4 870.3 16 330   7.1  459
 191      1912  28.4 870.0 16 330   7.2  460
 192      1916  28.4 869.6 16 330   7.2  460
 193      1919  28.3 869.3 17 330   7.2  461
 194      1922  28.3 869.0 17 330   7.2  461
 195      1925  28.3 868.7 17 330   7.2  462
 196      1929  28.2 868.3 17 330   7.2  462
 197      1932  28.2 868.0 17 329   7.2  463
 198      1936  28.2 867.6 17 329   7.3  463
 199      1940  28.1 867.3 17 329   7.3  463
 200      1943  28.1 867.0 17 329   7.3  464
 201      1946  28.1 866.6 17 329   7.3  464
 202      1949  28.0 866.3 17 329   7.3  465
 203      1952  28.0 866.0 17 329   7.4  465
 204      1956  28.0 865.7 17 329   7.4  466
 205      1959  27.9 865.3 17 329   7.4  466
 206      1963  27.9 865.0 17 329   7.4  467
 207      1966  27.9 864.7 17 328   7.4  467
 208      1969  27.9 864.4 17 328   7.4  468
 209      1972  27.8 864.1 17 328   7.4  468
 210      1975  27.8 863.8 17 329   7.4  469
 211      1978  27.8 863.5 17 329   7.4  469
 212      1982  27.7 863.1 17 329   7.4  469
 213      1985  27.7 862.8 17 329   7.4  470
 214      1988  27.7 862.5 17 329   7.4  470
 215      1992  27.6 862.2 17 329   7.3  471
 216      1995  27.6 861.8 17 329   7.3  471
 217      2000  27.6 861.4 17 329   7.3  472
 218      2004  27.5 861.0 17 329   7.2  473
 219      2009  27.5 860.5 17 330   7.2  473
 220      2013  27.4 860.1 17 330   7.2  474
 221      2016  27.4 859.8 17 330   7.1  474
 222      2020  27.4 859.5 17 330   7.1  475
 223      2023  27.3 859.1 18 330   7.0  475
 224      2028  27.3 858.7 18 330   6.9  476
 225      2032  27.3 858.2 18 330   6.9  477
 226      2036  27.2 857.8 18 331   6.8  477
 227      2041  27.2 857.4 18 331   6.8  478
 228      2045  27.1 857.0 18 331   6.7  478
 229      2050  27.1 856.5 18 331   6.7  479
 230      2054  27.0 856.1 18 331   6.6  480
 231      2058  27.0 855.7 18 331   6.5  480
 232      2062  27.0 855.4 18 331   6.5  481
 233      2065  26.9 855.0 18 330   6.4  481
 234      2069  26.9 854.7 18 330   6.4  482
 235      2073  26.9 854.2 18 330   6.3  482
